,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({0}),frozenset({12}),0.09692576184722781,0.002819170358437374,0.0005369848301785474,0.00554016620498615,1.965176098140087,0.00026373459540988265,1.0027361545977829
1,frozenset({12}),frozenset({0}),0.002819170358437374,0.09692576184722781,0.0005369848301785474,0.19047619047619047,1.965176098140087,0.00026373459540988265,1.1155622941887187
2,frozenset({0}),frozenset({24}),0.09692576184722781,0.0041616324338837425,0.0005369848301785474,0.00554016620498615,1.3312483245465108,0.00013361543599623278,1.0013862136249803
3,frozenset({24}),frozenset({0}),0.0041616324338837425,0.09692576184722781,0.0005369848301785474,0.12903225806451613,1.3312483245465105,0.00013361543599623278,1.0368630141754052
4,frozenset({0}),frozenset({27}),0.09692576184722781,0.014364344207276145,0.002013693113169553,0.020775623268698064,1.4463328759675875,0.0006214181074434991,1.0065473033696557
5,frozenset({27}),frozenset({0}),0.014364344207276145,0.09692576184722781,0.002013693113169553,0.14018691588785048,1.4463328759675875,0.0006214181074434991,1.0503146030689852
6,frozenset({0}),frozenset({32}),0.09692576184722781,0.00644381796214257,0.0006712310377231843,0.006925207756232687,1.07470567867036,4.665907253766468e-05,1.000484746766155
7,frozenset({32}),frozenset({0}),0.00644381796214257,0.09692576184722781,0.0006712310377231843,0.10416666666666666,1.07470567867036,4.665907253766468e-05,1.0080828704961178
8,frozenset({0}),frozenset({42}),0.09692576184722781,0.00469861726406229,0.0005369848301785474,0.00554016620498615,1.1791056588840523,8.156777223077282e-05,1.0008462372358593
9,frozenset({42}),frozenset({0}),0.00469861726406229,0.09692576184722781,0.0005369848301785474,0.1142857142857143,1.1791056588840523,8.156777223077282e-05,1.019599946301517
10,frozenset({0}),frozenset({62}),0.09692576184722781,0.005235602094240838,0.0008054772452678212,0.008310249307479225,1.5872576177285318,0.00029801252355458657,1.0031004124133494
11,frozenset({62}),frozenset({0}),0.005235602094240838,0.09692576184722781,0.0008054772452678212,0.15384615384615385,1.587257617728532,0.00029801252355458657,1.067269554180549
12,frozenset({2}),frozenset({29}),0.005101355886696201,0.10417505705463821,0.0005369848301785474,0.10526315789473684,1.0104449267498643,5.5507896259562005e-06,1.0012161127036396
13,frozenset({29}),frozenset({2}),0.10417505705463821,0.005101355886696201,0.0005369848301785474,0.005154639175257732,1.0104449267498643,5.5507896259562005e-06,1.0000535593677768
14,frozenset({34}),frozenset({3}),0.015169821452543966,0.03772318432004296,0.0008054772452678212,0.05309734513274336,1.4075520423267094,0.00023322327451136336,1.016236263288179
